"","specie_id","specie_name","location_id","location_name","trait_id","trait_name","methodology_id","methodology_name","value"
"1",1441,"Stylophora pistillata",43,"Eilat, Israel",128,"Symbiodinium clade",53,"Sequencing","A"
"2",46,"Acropora cytherea",44,"French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"3",46,"Acropora cytherea",44,"French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"4",1228,"Pocillopora eydouxi",123,"Johnston Atoll",128,"Symbiodinium clade",52,"Cloning","A"
"5",1234,"Pocillopora meandrina",123,"Johnston Atoll",128,"Symbiodinium clade",52,"Cloning","A"
"6",1228,"Pocillopora eydouxi",123,"Johnston Atoll",128,"Symbiodinium clade",52,"Cloning","A"
"7",973,"Orbicella annularis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"8",973,"Orbicella annularis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"9",964,"Meandrina meandrites",47,"Jamaica",128,"Symbiodinium clade",51,"DGGE","A"
"10",37,"Acropora cervicornis",365,"Biscayne National Park, Florida Keys",128,"Symbiodinium clade",NA,"","A"
"11",37,"Acropora cervicornis",49,"Cartagena, Columbia",128,"Symbiodinium clade",51,"DGGE","A"
"12",1395,"Siderastrea siderea",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","A"
"13",1395,"Siderastrea siderea",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","A"
"14",978,"Orbicella faveolata",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","A"
"15",978,"Orbicella faveolata",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","A"
"16",37,"Acropora cervicornis",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","A"
"17",37,"Acropora cervicornis",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","A"
"18",1316,"Porites porites",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","A"
"19",1393,"Siderastrea radians",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"20",1393,"Siderastrea radians",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"21",979,"Orbicella franksi",54,"Bocas del Toro District, Panama",128,"Symbiodinium clade",52,"Cloning","A"
"22",978,"Orbicella faveolata",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","A"
"23",1269,"Porites astreoides",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","A"
"24",37,"Acropora cervicornis",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","A"
"25",37,"Acropora cervicornis",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","A"
"26",37,"Acropora cervicornis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","A"
"27",37,"Acropora cervicornis",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","A"
"28",37,"Acropora cervicornis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","A"
"29",1269,"Porites astreoides",49,"Cartagena, Columbia",128,"Symbiodinium clade",51,"DGGE","A"
"30",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"31",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"32",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"33",1316,"Porites porites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"34",1269,"Porites astreoides",477,"No location record",128,"Symbiodinium clade",53,"Sequencing","A"
"35",1269,"Porites astreoides",477,"No location record",128,"Symbiodinium clade",53,"Sequencing","A"
"36",1269,"Porites astreoides",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","A"
"37",1269,"Porites astreoides",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","A"
"38",1269,"Porites astreoides",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","A"
"39",1269,"Porites astreoides",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","A"
"40",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"41",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"42",1269,"Porites astreoides",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","A"
"43",1269,"Porites astreoides",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","A"
"44",1269,"Porites astreoides",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","A"
"45",1269,"Porites astreoides",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","A"
"46",1316,"Porites porites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","A"
"47",1269,"Porites astreoides",49,"Cartagena, Columbia",128,"Symbiodinium clade",51,"DGGE","B"
"48",964,"Meandrina meandrites",49,"Cartagena, Columbia",128,"Symbiodinium clade",51,"DGGE","B"
"49",973,"Orbicella annularis",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"50",978,"Orbicella faveolata",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"51",979,"Orbicella franksi",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"52",589,"Diploria labyrinthiformis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"53",964,"Meandrina meandrites",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"54",458,"Colpophyllia natans",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"55",458,"Colpophyllia natans",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"56",1395,"Siderastrea siderea",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"57",1395,"Siderastrea siderea",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"58",1395,"Siderastrea siderea",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"59",585,"Dichocoenia stokesi",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"60",585,"Dichocoenia stokesi",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"61",590,"Pseudodiploria strigosa",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"62",590,"Pseudodiploria strigosa",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"63",590,"Pseudodiploria strigosa",59,"Charlotte Amalie",128,"Symbiodinium clade",51,"DGGE","B"
"64",978,"Orbicella faveolata",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"65",978,"Orbicella faveolata",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"66",978,"Orbicella faveolata",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"67",201,"Agaricia agaricites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"68",201,"Agaricia agaricites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"69",973,"Orbicella annularis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"70",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"71",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"72",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"73",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"74",1269,"Porites astreoides",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"75",978,"Orbicella faveolata",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"76",978,"Orbicella faveolata",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"77",978,"Orbicella faveolata",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"78",649,"Favia fragum",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"79",649,"Favia fragum",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"80",649,"Favia fragum",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"81",649,"Favia fragum",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"82",204,"Agaricia humilis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"83",204,"Agaricia humilis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"84",589,"Diploria labyrinthiformis",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"85",589,"Diploria labyrinthiformis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"86",964,"Meandrina meandrites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"87",964,"Meandrina meandrites",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"88",964,"Meandrina meandrites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"89",964,"Meandrina meandrites",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"90",964,"Meandrina meandrites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"91",458,"Colpophyllia natans",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"92",458,"Colpophyllia natans",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"93",458,"Colpophyllia natans",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"94",1393,"Siderastrea radians",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"95",585,"Dichocoenia stokesi",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"96",585,"Dichocoenia stokesi",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"97",585,"Dichocoenia stokesi",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"98",585,"Dichocoenia stokesi",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"99",585,"Dichocoenia stokesi",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"100",585,"Dichocoenia stokesi",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"101",590,"Pseudodiploria strigosa",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"102",590,"Pseudodiploria strigosa",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"103",590,"Pseudodiploria strigosa",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"104",590,"Pseudodiploria strigosa",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"105",590,"Pseudodiploria strigosa",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"106",979,"Orbicella franksi",54,"Bocas del Toro District, Panama",128,"Symbiodinium clade",52,"Cloning","B"
"107",978,"Orbicella faveolata",52,"South Yucatan",128,"Symbiodinium clade",51,"DGGE","B"
"108",1224,"Pocillopora damicornis",44,"French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","B"
"109",973,"Orbicella annularis",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","B"
"110",973,"Orbicella annularis",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","B"
"111",1269,"Porites astreoides",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"112",978,"Orbicella faveolata",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","B"
"113",649,"Favia fragum",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"114",589,"Diploria labyrinthiformis",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"115",964,"Meandrina meandrites",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"116",585,"Dichocoenia stokesi",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"117",590,"Pseudodiploria strigosa",51,"Puerto Morelos",128,"Symbiodinium clade",51,"DGGE","B"
"118",973,"Orbicella annularis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"119",973,"Orbicella annularis",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"120",964,"Meandrina meandrites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"121",964,"Meandrina meandrites",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"122",1395,"Siderastrea siderea",46,"Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"123",1224,"Pocillopora damicornis",85,"La Paz Bay",128,"Symbiodinium clade",51,"DGGE","B"
"124",973,"Orbicella annularis",61,"Bermuda",128,"Symbiodinium clade",52,"Cloning","B"
"125",973,"Orbicella annularis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"126",973,"Orbicella annularis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"127",973,"Orbicella annularis",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","B"
"128",973,"Orbicella annularis",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","B"
"129",973,"Orbicella annularis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"130",37,"Acropora cervicornis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"131",37,"Acropora cervicornis",56,"Lee Stocking Island",128,"Symbiodinium clade",51,"DGGE","B"
"132",37,"Acropora cervicornis",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"133",978,"Orbicella faveolata",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
"134",978,"Orbicella faveolata",50,"Florida Keys",128,"Symbiodinium clade",51,"DGGE","B"
